!!!,Freedom! '15
'96 Bulls,Future
Porsches,Horses
Porsches,Karate
Portico,101 {Ft. Joe Newman}
Postblue,Glow Like Crazy
"Pretty Littles, The",Man Baby {Ft. Dix Pix}
Prime,Victory Lap {Ft. Purpose & Alex Jones}
Pro Vita,Feelings Not Gone
Pro Vita,Julia
"Prodigy, The",Ibiza {Ft. Sleaford Mods}
"Prodigy, The",Nasty
"Prodigy, The",Rebel Radio
"Prodigy, The",The Day Is My Enemy
"Prodigy, The",Wall Of Death
"Prodigy, The",Wild Frontier
Psycroptic,Cold
Psycroptic,The World Discarded
Purity Ring,Begin Again
Purity Ring,Bodyache
Purity Ring,Flood On The Floor
Purity Ring,Heartsigh
Purity Ring,Push Pull
Purity Ring,Repetition
Purity Ring,Sea Castle
Purity Ring,Stranger Than Earth
Puscifer,Money Shot
Puscifer,The Arsonist
Pusha T,Untouchable
R.W. Grace,All The Friends I Lost
R.W. Grace,Shell
RAC,Back Of The Car {Ft. Nate Hendricks}
RAC,Falling Hard {Ft. Madi Diaz}
Raekwon,Wall To Wall {Ft. French Montana/Busta Rhymes}
Rainy Day Women,Are You Coming Home?
Rainy Day Women,Matter Of Time
Raised Fist,Man & Earth
Raleigh Ritchie,The Greatest
Rat & Co,Spring I
Ratatat,Abrasive
Ratatat,Cream On Chrome
Ratatat,Nightclub Amnesia
Rationale,Fast Lane
Ratking,So Wrecked Youth
Raury,Devil's Whisper
Raury,Forbidden Knowledge {Ft. Big K.R.I.T.}
Raury,Friends {Ft. Tom Morello}
Ravyn Lenae,Free Room {Ft. Appleby}
Red Jezebel,Outer Dodge
Redspencer,Ride It Out
Refused,Dawkins Christ
Refused,Elektra
Refused,Francafrique
Rejjie Snow,All Around The World
Remi,Weirdos (From Planet HOB)
Retiree,Gundagai
Ribongia,Journeys
Richard In Your Mind,Ecstatic Electricity
Riley Pearce,Brave
Robbie Miller,The Pain
Robert DeLong,Don't Wait Up
Robert DeLong,Jealousy
Robyn & La Bagatelle Magique,Lose Control
Robyn & La Bagatelle Magique,Love Is Free
Rod Ladgrove,Holding On Tonight
Rod Ladgrove,India
Roisin Murphy,Exploitation
Roland Tings,Coming Up For Air
Roland Tings,Devotion
Roland Tings,Floating On A Salt Lake
Roland Tings,Hedonist
Roland Tings,Pala
Rolling Blackouts Coastal Fever,Clean Slate
Rolling Blackouts Coastal Fever,Wide Eyes
Rolls Bayce,Lost
Roots Manuva,Don't Breathe Out
Roots Manuva,Like A Drum
Rosie Lowe,Who's That Girl
Royal Blood,Hang Me Up To Dry {triple j Like A Version}
Royal Headache,Another World
Royal Headache,High
Royce Wood Junior,Honeydripper
Royce Wood Junior,Midnight
"Rubens, The",Bitter End
"Rubens, The",Cut Me Loose
"Rubens, The",Hallelujah
"Rubens, The",Hold Me Back
"Rubens, The",Hoops
"Rubens, The",Switchblade
"Rubens, The",The Fool
"Rubens, The",The Night Is On My Side
"Rubens, The",Things About To Change
Rudimental,I Will For Love
Rudimental,Never Let You Go
Rudimental,Rumour Mill {Ft. AnneMarie/Will Heard}
Rudimental,Too Cool {Ft. Ella Eyre}
Rudimental,We The Generation {Ft. Mahalia}
RUFUS,Innerbloom
RUFUS,Like An Animal
RUFUS,You Were Right
Run The Jewels,Rubble Kings Theme (Dynamite)
Running Touch,This Is Just To Say
Running Touch,What's Best For You
Rustie,Big Catzz
Ry,Gimme That {Ft. Jordan De La Cruz}
Ryan Hemsworth,Afterglow
S,Type,Fire {Ft. Yung Gud}
Sable,Like You (Girl) {Ft. Floria}
Sable,One & Only
SAFIA,Counting Sheep
SAFIA,Embracing Me
SAFIA,Left Hand Free {triple j Like A Version}
Saintseneca,Sleeper Hold
salute,Castle
salute,Diamond (Gold Rush)
Sam Smith,Lay Me Down (Flume Remix)
Sam Wright,Make It So
Sampa The Great,F E M A L E
Sampa The Great,Jamal
Samuel Dobson,Coda
Samuel Dobson,Who You Run With
San Cisco,About You
San Cisco,Bitter Winter
San Cisco,Jealousy {Ft. Isabella Manfredi}
San Cisco,Magic
San Cisco,Snow
San Cisco,Super Slow
San Cisco,Too Much Time Together
San Cisco,Wash It All Away
San Fermin,Jackrabbit
San Holo x Father Dude,IMISSU
Sans,Torquay
Sans Parents,Loose People
Santigold,Can't Get Enough Of Myself {Ft. B.C.}
Santigold,Radio
Sarah Blasko,Better With You
Sarah Blasko,I Am Ready
Sarah Blasko,I Wanna Be Your Man
Sarah Blasko,I'd Be Lost
Sarah Blasko,Maybe This Time
Sarah Blasko,Only One
Saskwatch,Down The Stairs
Saskwatch,I'll Be Fine
Savages,T.I.W.Y.G.
Savages,The Answer
School Of Seven Bells,Open Your Eyes
Screaming Peaches,Sad Kid
Sea Legs,Witches Have Friends
Seekae,Picture Me Gone {triple j Like A Version}
Set Mo,Chasing Forever {Ft. ALPHAMAMA}
Set Mo,White Dress {Ft. Deutsch Duke}
Seth Sentry,1969
Seth Sentry,Dumb
Seth Sentry,Hell Boy
Seth Sentry,How Are You
Seth Sentry,Nobody Like Me {Ft. Remi}
Seth Sentry,Run
Seth Sentry,Violin
Seven Davis Jr,Be A Man {Ft. Flako}
Seven Davis Jr,Good Vibes {Ft. Julio Bashmore}
SG Lewis,No Less
SG Lewis,Warm
Shadow Child & Ben Pearce,Nothing Ever Hurts {Ft. Laurel}
Shamir,Call It Off
Sharon Jones & The Dapkings,Little Boys With Shiny Toys
Shearwater,Quiet Americans
Shining Bird,Rivermouth
Shlohmo,Beams
Shlohmo,Buried
Shlohmo,Emerge From Smoke
Shura,2Shy
Shura,White Light
Sia,Alive
Sia,Bird Set Free
Sid Pattni,Being Human {Ft. Josh Osho}
Sid Pattni,Love And Desire {Ft. Sophie Hopes}
Silicon,Burning Sugar
Silicon,God Emoji
Silversun Pickups,Circadian Rhythm (Last Dance)
Silversun Pickups,Nightlight
Sizarr,Scooter Accident
Skaters,Mental Case
Skegss,Eat It
Skegss,Fun
Skepta,Back Then
Skepta,Shutdown
SKIES,Call For My Heart
SKIES,Too Young
Slaves,Cheer Up London
Slaves,The Hunter
Slayer,When The Stillness Comes
Sleater,Kinney,A New Wave
Sleater,Kinney,Fangless
Sleater,Kinney,No Cities To Love
Sleater,Kinney,Price Tag
Sleater,Kinney,Surface Envy
Sleepy Tom,Pusher {Ft. Anna Lunoe}
Slow Turismo,I Sit Down As Soon As I Get Up
Slum Sociable,All Night
Slum Sociable,Anyway
Slum Village,Expressive {Ft. BJ The Chicago Kid and Illa J}
Slum Village,Push It Along {Ft. Phife}
Slumberhaze,Nothing But You
Slumberjack,Enigma {Ft. GRRL PAL}
"Smith Street Band, The",I Scare Myself Sometimes {Ft. Lucy Wilson}
"Smith Street Band, The",Wipe That ShitEating Grin Off Your Punchable Face
Snakehips,All My Friends {Ft. Tinashe/Chance The Rapper}
Snakehips,Gone {Ft. Syd}
Snoop Dogg,So Many Pros
SOAK,Garden
SOAK,Sea Creatures
Society,Protocol
Soilwork,The Ride Majestic
Soko,Who Wears The Pants??
Solkyri,Yes I'm Breathing
Son Little,Lay Down
Son Lux,Change Is Everything
Son Lux,Flight
Sons Of Rico,What Am I Doing Here?
Sons Of The East,Into The Sun
SOPHIE,Just Like We Never Said Goodbye
Sophie Lowe,Pink Flowers
Sophie Lowe,Understand
Soul Benefits,Step Up {Ft. Angel}
Spector,All The Sad Young Men
Speedy Ortiz,Raising The Skate
Speedy Ortiz,The Graduates
spire,Still Don't Understand
Split Feed,Underground
Split Feed,Vanilla
Spring King,City
Spring King,Who Are You?
Squarepusher,Stor Eiglass
St. Lucia,All Eyes On You
St. South,Cadence
St. Vincent,Bad Believer
St. Vincent,Teenage Talk
Stanton Warriors,Loving Me Wrong
Statik Selektah,Beautiful Life {Ft. Action Bronson & Joey Bada$$}
Statues,Oh Precious Commodity
Stealing Sheep,Not Real
Steven A. Clark,Can't Have
Steven A. Clark,Not You
Sticky Fingers,Delete {triple j Like A Version}
Sticky Fingers,Ghost Town
Stillwater Giants,Patience
Stonefield,Golden Dream
Stonefox,Ghost
"Stoops, The",Middle Of A Riot
Stormzy,Know Me From
Stormzy,Shut Up
Stormzy,Standard
Stormzy,WickedSkengMan 4
"Story So Far, The",Nerve
Strange Babes,Come Back Around
Stray From The Path,First World Problem Child
"Strypes, The",Get Into It
Sufjan Stevens,All Of Me Wants All Of You
Sufjan Stevens,Death With Dignity
Sufjan Stevens,Drawn To The Blood
Sufjan Stevens,No Shade In The Shadow Of The Cross
Sufjan Stevens,Should Have Known Better
Sui Zhen,Take It All Back
SUIIX,Alright
Summer Camp,Bad Love
Summer Flake,Makes Me Wanna Cry
Summer Flake,The Sun Won't Shine
Sunbeam Sound Machine,Getting Young
Sunflower Bean,Wall Watcher
Surahn,Wanted To Fly
Surfer Blood,I Can't Explain
Surfer Blood,Point Of No Return
Swick,Crystal Palace
Swim Season,Soldiers
Szymon,Golden
Szymon,Medusa
Ta,ku,Love Again {Ft. JMSN/Sango}
Tabrill,Moving On {Ft. Feki}
TACHES,Eat Your Friends {Ft. Shoffy}
Talib Kweli,Every Ghetto {Ft. Rapsody}
Talib Kweli,The Venetian {Ft. NIKO IS/AbSoul} {Prod. The Alchemist}
Talib Kweli,Tryin To Breathe {Ft. Killer Mike}
Tame Impala,'Cause I'm A Man
Tame Impala,Confide In Me {triple j Like A Version}
Tame Impala,Disciples
Tame Impala,Eventually
Tame Impala,Let It Happen
Tame Impala,Let It Happen (Soulwax Remix)
Tame Impala,Love/Paranoia
Tame Impala,"New Person, Same Old Mistakes"
Tame Impala,Reality In Motion
Tame Impala,The Less I Know The Better
Tame Impala,The Moment
Tame Impala,Yes I'm Changing
Taser x Tink,Wet Dollars
Tear Council,Anywhere
Tear Council,My Car
Teeth & Tongue,Cupcake
Tei Shi,Go Slow
Tempura Nights,Studville
Ten Walls,Sparta
Thandi Phoenix,Come Around
Them Bruins,Heading For The Harrows
Them Bruins,Walk A Line
These Guy,Over Before It Begins
Thief,Crazy
Thunderbitch,I Just Wanna Rock n Roll
Thundercat,Them Changes
Thy Art Is Murder,Holy War
Thy Art Is Murder,Light Bearer
Tiger Choir,All Time
Tiger Choir,Interstate
Tiger Choir,Shani
Tiggs Da Author,Georgia
Tijuana Cartel,Lost My Head
"Tim Rogers & Bamboos, The",Easy
Timberwolf,Fallen Sun
Timberwolf,Whiskey Jar
Timothy Nelson & The Infidels,My Luck
Tink,Ratchet Commandments
Tiny Little Houses,Easy
Tiny Little Houses,Soon We Won't Exist
Tired Lion,I Don't Think You Like Me
Tired Lion,Saramona Said {triple j Like A Version}
Tired Lion,Suck
Title Fight,Chlorine
Title Fight,Rose Of Sharon
Titus Andronicus,Dimed Out
Titus Andronicus,Fatal Flaw
Tkay Maidza,Ghost
Tkay Maidza,M.O.B.
Tobias Jesso Jr.,How Could You Babe
Tom Misch,Oh Baby
Tom Misch,Wander With Me {Ft. Carmody}
Tomas Barfod,Hope In A Box
Tomas Barfod,Used To Be {Ft. Nina K}
"Tongue, The",Never Going Down {Ft. Ngaiire}
"Tongue, The",You Got Me {Ft. Mataya}
Toro y Moi,Buffalo
Toro y Moi,Empty Nesters
TORRES,Sprinter
TORRES,Strange Hellos
Tory Lanez,Say It
Total Babes,Heydays
Total Giovanni,When We Break
Totally Mild,Battleship
Tourist,Holding On {Ft. Josef Salvat/Niia}
Tove Styrke,Ain't Got No...
Tove Styrke,Ego
Towkio,Free Your Mind {Ft. Donnie Trumpet}
Towkio,Heaven Only Knows {Ft. Donnie Trumpet/Lido/Eryn Allen Kane}
Travis Scott,90210 {Ft. Kacy Hill}
Travis Scott,Antidote
TroldHaugen,Viva Loa Vegas
Tropics,Hunger
Tropics,Rapture
Trouble Knows Me,From Trouble They Know Me
Tuka,Big Jet Plane {triple j Like A Version}
Tuka,Don't Wait Up
Tuka,L.D.T.E.
Tuka,My Star
Tuka,Nirvana
Tuka,Right By You
Tuka,Tattoo
Tully On Tully,All These Words
Turbowolf,Rabbits Foot
Tuxedo,Do It
Twelve Foot Ninja,One Hand Killing
Twerps,I Don't Mind
Twerps,New Moves
Twerps,Simple Feelings
Twerps,Stranger
Twin Caverns,Pyramid
Twin Haus,I Used To Think
Tyler Touche,Act Of God {Ft. Jason Gaffner}
"Tyler, The Creator",DEATHCAMP
U.S. Girls,Damn That Valley
Unknown Mortal Orchestra,Can't Keep Checking My Phone
Unknown Mortal Orchestra,Multi,Love
Until The Ribbon Breaks,Spark
Urban Cone,Weekends
Urthboy,Long Loud Hours {Ft. Bertie Blackman}
UV boi,"If She, If He {Ft. EASTGHOST}"
UV boi,LUV {Ft. Fionn Richards/Brasstracks}
"Vaccines, The",20/20
"Vaccines, The",Dream Lover
"Vaccines, The",Handsome
"Vaccines, The",Minimal Affection
Vallis Alps,Thru
Vallis Alps,Young
Vance Joy,Fake Plastic Trees {triple j Like A Version}
Vance Joy,Fire And The Flood
Vance Joy,Great Summer
VANT,Do You Know Me?
VANT,Parking Lot
Velociraptor,Dollarmite
Venom,From The Very Depths
"Venusians, The",Keep Running
Vera Blue,Hold
Verge Collection,Feel Bad Songs
Verge Collection,Our Place
"Very Best, The",Let Go
Vic Mensa,U Mad {Ft. Kanye West}
Viet Cong,Continental Shelf
Viet Cong,Silhouettes
Vigilantes,Elasticity
Vince Staples,Get Paid {Ft. Desi Mo}
Vince Staples,Norf Norf
Vince Staples,Senorita
Violent Soho,Like Soda
Voltaire Twins,Long Weekend
WAAX,I For An Eye
Wafia,Heartburn
Walken,Even If It Kills Me
"Walking Who, The",My Future Wife
Wallace,Beauty {Ft. Sampa The Great}
Warpaint,No Way Out
Wave Racer,Flash Drive {Ft. BABY}
Wave Racer,World Record {Ft. Lido}
Wavves,Heavy Metal Detox
Wavves,My Head Hurts
Wavves,Pony
Wavves,Way Too Much
Wax Motif,Krush Groove
Waxahatchee,Under A Rock
Waza,Tell Me How
"Weeknd, The",Acquainted
"Weeknd, The",Can't Feel My Face
"Weeknd, The",Dark Times {Ft. Ed Sheeran}
"Weeknd, The",Earned It
"Weeknd, The",Losers {Ft. Labrinth}
"Weeknd, The",Prisoner {Ft. Lana Del Rey}
"Weeknd, The",Real Life
"Weeknd, The",Shameless
"Weeknd, The",Tell Your Friends
"Weeknd, The",The Hills
Weezer,Thank God For Girls
West Thebarton Brothel Party,Misophonia
Wet,Deadwater
What So Not,Gemini {Ft. George Maple}
Whilk & Misky,Burn With Me
Whitaker,Horizon
White Shadows,Give Up Give Out Give In
Why We Run,Comfortable Lie
Why We Run,Ignites
Wilco,Random Name Generator
Wild Belle,Giving Up On You
Wild Honey,Eye To Eye
Wiley,Chasing The Art
Will Butler,Anna
WILSN,Unmeet You
WILSN,Walking For Days
Winterbourne,To Get To Know You
Wishes,I Want To Be Alone With You
With You,Ghost {Ft. Vince Staples}
Wolf Alice,Freazy
Wolf Alice,Giant Peach
Wolf Alice,Lisbon
Wolf Alice,Turn To Dust
Wolf Alice,You're A Germ
Wolf Alice,Your Loves Whore
"Wombats, The",Be Your Shadow
"Wombats, The",Do You Remember {triple j Like A Version}
"Wombats, The",Emoticons
"Wombats, The",Give Me A Try
"Wombats, The",Greek Tragedy
"Wombats, The",The English Summer
"Wombats, The",This Is Not A Party
Woodes X Elkkle,Flash Mob
World Champion,Avocado Galaxy
World Champion,Shakes
World's End Press,Spirals (Slide Away)
World's End Press,Tall Stories
Xavier Rudd & The United Nations,Come People
YACHT,I Thought The Future Would Be Cooler
Yak,No
YATES,Virtue
Yeo,Icarus
Yeo,Quiet Achiever
YesYou,"Get Up, Get Down {Ft. Kane Mazlin}"
YesYou,Through Your Eyes {Ft. La Mar}
YOGI & Skrillex,Burial {Ft. Pusha T/Moody Good/TrollPhace}
You Am I,Bon Vivants
You Am I,Good Advices
Young Fathers,Feasting
Young Fathers,Rain Or Shine
Young Fathers,Shame
Young Franco,Don't U Want Me {Ft. Blair De Milo}
Young Franco,Talkin' Bout It {Ft. KLP}
Young Tapz,Killa
Young Thug,Constantly Hating {Ft. Birdman}
Yukon Blonde,Saturday Night
Yum Yum,Do You Really? {Ft. The Brass Knuckle Brass Band}
Yuma X,Matchstick
Yuma X,Swimming Pool
Yumi Zouma,Catastrophe
Yung,God
Yuuca,Breathe
Yvng Jalapeno,In Control {Ft. MUUKI}
Zane Francis,Acclimate
Zefereli,Once In A While
Zefereli,Withdrawals
ZHU x A,Trak x Keznamdi,As Crazy As It Is
ZHU x AlunaGeorge,Automatic
ZHU x Bone Thugs,N,Harmony x Trombone
Shorty,"Hold Up, Wait A Minute"
ZHU x Gallant,Testarossa Music
ZHU x Skrillex x THEY.,Working For It ZHU x Vancouver Sleep Clinic x Daniel
Johns,Modern Conversation
